,PC No,PC Name,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),State
404,9,Hyderabad,7,1935,1957931,1012,24,15,13,877941,44.84,Telangana
405,10,CHEVELLA,7,2785,2443112,877,28,23,21,1300998,53.25,Telangana
406,11,Mahbubnagar,7,1871,1506102,805,23,12,9,984767,65.39,Telangana
407,12,Nagarkurnool,7,1936,1588111,820,15,11,9,989893,62.33,Telangana
408,13,Nalgonda,7,1990,1585980,797,39,27,25,1175984,74.15,Telangana
409,14,Bhongir ,7,2068,1628033,787,34,13,11,1212777,74.49,Telangana
410,15,Warangal,7,1859,1666770,897,29,15,13,1061672,63.7,Telangana
411,16,Mahabubabad  ,7,1735,1424385,821,20,14,12,983707,69.06,Telangana
412,17,Khammam ,7,1798,1513809,842,34,23,21,1139848,75.3,Telangana
413,1,Tripura West,30,1679,1352857,806,18,13,11,1108427,81.93,Tripura
414,2,Tripura East,30,1645,1261861,767,10,10,7,1046123,82.9,Tripura
415,1,Saharanpur,5,1938,1739082,897,20,11,8,1232438,70.87,Uttar Pradesh
416,2,Kairana,5,1823,1666703,914,14,13,11,1124213,67.45,Uttar Pradesh
417,3,Muzaffarnagar,5,1800,1698003,943,22,10,8,1161774,68.42,Uttar Pradesh
418,4,Bijnor,5,1943,1664125,856,16,13,11,1101966,66.22,Uttar Pradesh
419,5,Nagina,5,1776,1586117,893,9,7,5,1009785,63.66,Uttar Pradesh
420,6,Moradabad,5,2054,1958939,954,25,13,11,1282265,65.46,Uttar Pradesh
421,7,Rampur,5,1946,1679506,863,17,11,9,1061238,63.19,Uttar Pradesh
422,8,Sambhal,5,1943,1828764,941,15,12,10,1183788,64.73,Uttar Pradesh
423,9,Amroha,5,1804,1646435,913,15,10,8,1169754,71.05,Uttar Pradesh
424,10,Meerut,5,2007,1892931,943,15,11,9,1216940,64.29,Uttar Pradesh
425,11,Baghpat,5,1796,1616476,900,13,13,11,1045607,64.68,Uttar Pradesh
426,12,Ghaziabad,5,2931,2728978,931,25,12,10,1525097,55.89,Uttar Pradesh
427,13,Gautam Buddha Nagar,5,2397,2302960,961,21,13,11,1393141,60.49,Uttar Pradesh
428,14,Bulandshahr,5,2964,1787925,603,13,9,7,1125000,62.92,Uttar Pradesh
